,CommonName,SciName,Family,About,Audios
118,Black-headed bulbul,Brachypodius atriceps,Pycnonotidae,"The black-headed bulbul is a member of the bulbul family, Pycnonotidae. It is found in forests in south-eastern Asia.",https://xeno-canto.org/297168/download
119,Black-headed bunting,Emberiza melanocephala,Emberizidae,"The black-headed bunting is a passerine bird in the bunting family Emberizidae. It breeds in south-east Europe east to Iran and migrates in winter mainly to India, with some individuals moving further into south-east Asia. Like others in its family, it is found in open grassland habitats where they fly in flocks in search of grains and seed. Adult males are well marked with yellow underparts, chestnut back and a black head. Adult females in breeding plumage look like duller males. In other plumages, they can be hard to separate from the closely related red-headed bunting and natural hybridization occurs between the two species in the zone of overlap of their breeding ranges in northern Iran.",https://xeno-canto.org/120756/download
120,Black-headed cuckooshrike,Lalage melanoptera,Campephagidae,The black-headed cuckooshrike is a species of cuckooshrike found in the Indian Subcontinent and Southeast Asia.,https://xeno-canto.org/485073/download
121,,,,,
122,Black-headed gull,Chroicocephalus ridibundus,Laridae,"The black-headed gull  is a small gull that breeds in much of the Palearctic including Europe and also in coastal eastern Canada. Most of the population is migratory and winters further south, but some birds reside in the milder westernmost areas of Europe. Some black-headed gulls also spend the winter in northeastern North America, where it was formerly known as the common black-headed gull. As is the case with many gulls, it was previously placed in the genus Larus.",https://xeno-canto.org/73066/download
123,Black-headed ibis,Threskiornis melanocephalus,Threskiornithidae,"The black-headed ibis, also known as the Oriental white ibis, Indian white ibis, and black-necked ibis, is a species of wading bird of the ibis family Threskiornithidae which breeds in the South- and Southeast Asia from India to the west and as far east as Japan. It is the only native ibis species in its range that has an overall white plumage with a black neck and head. The down-curved beak and legs are also black. Though often referred to as a wetland species, the black-headed ibis forages in a range of natural and man-made habitats. This species of ibis nests only during the rainy season.",https://xeno-canto.org/138753/download
124,Black-headed jay,Garrulus lanceolatus,Corvidae,"The black-headed jay or lanceolated jay is roughly the same size as its close relative the Eurasian jay, but a little more slender overall except for the bill which is slightly shorter and thicker. The top of the head is black and it has a more obvious crest too and a longer tail.",https://xeno-canto.org/104168/download
125,Black-headed shrike-babbler,Pteruthius rufivente,Vireonidae,"The black-headed shrike-babbler is a bird species traditionally placed with the Old World babblers in the family Timaliidae. However, it might be one of the few Eurasian vireos (Vireonidae).",https://xeno-canto.org/79731/download
126,Black-hooded oriole,Oriolus xanthornus,Oriolidae,The black-hooded oriole is a member of the oriole family of passerine birds and is a resident breeder in tropical southern Asia from India and Sri Lanka east to Indonesia.,https://xeno-canto.org/425096/download
127,,,,,
128,Black-naped monarch,Hypothymis azurea,Monarchidae,"The black-naped monarch or black-naped blue flycatcher is a slim and agile passerine bird belonging to the family of monarch flycatchers found in southern and south-eastern Asia. They are sexually dimorphic, with the male having a distinctive black patch on the back of the head and a narrow black half collar (""necklace""), while the female is duller with olive brown wings and lacking the black markings on the head. They have a call that is similar to that of the Asian paradise flycatcher, and in tropical forest habitats, pairs may join mixed-species foraging flocks. Populations differ slightly in plumage colour and sizes.",https://xeno-canto.org/496192/download
129,,,,,
130,,,,,
131,Black-necked crane,Grus nigricollis,Gruidae,"The black-necked crane is a medium-sized crane in Asia that breeds on the Tibetan Plateau and remote parts of India and Bhutan. It is 139 cm (55 in) long with a 235 cm (7.8 ft) wingspan, and it weighs 5.5 kg (12 lbs). It is whitish-gray, with a black head, red crown patch, black upper neck and legs, and white patch to the rear of the eye. It has black primaries and secondaries. Both sexes are similar. Some populations are known to make seasonal movements. It is revered in Buddhist traditions and culturally protected across much of its range. A festival in Bhutan celebrates the bird while the Indian union territory of Jammu and Kashmir considers it as the state bird.",https://xeno-canto.org/35441/download
132,,,,,
133,,,,,
134,Black-necklaced Scimitar Babbler,Pomatorhinus erythrocnemis,Timaliidae,The black-necklaced scimitar babbler (Erythrogenys erythrocnemis) is a species of bird in the family Timaliidae. It is found in Taiwan. Its natural habitats are subtropical or tropical moist lowland forest and subtropical or tropical moist montane forest.,https://xeno-canto.org/582843/download
135,Black-rumped flameback,Dinopium benghalense,Picidae,"The black-rumped flameback, also known as the lesser golden-backed woodpecker or lesser goldenback, is a woodpecker found widely distributed in the Indian subcontinent. It is one of the few woodpeckers that are seen in urban areas. It has a characteristic rattling-whinnying call and an undulating flight. It is the only golden-backed woodpecker with a black throat and a black rump.",https://xeno-canto.org/419783/download
136,,,,,
137,Black-tailed crake,Amaurornis bicolor,Rallidae,"The black-tailed crake is a species of bird in the family Rallidae. It is found in Bangladesh, Bhutan, China, India, Laos, Myanmar, Nepal, Thailand and Vietnam.",https://xeno-canto.org/426824/download
138,Black-tailed godwit,Limosa limosa,Scolopacidae,"The black-tailed godwit is a large, long-legged, long-billed shorebird first described by Carl Linnaeus in 1758. It is a member of the godwit genus, Limosa. There are three subspecies, all with orange head, neck and chest in breeding plumage and dull grey-brown winter coloration, and distinctive black and white wingbar at all times.",https://xeno-canto.org/431198/download
139,,,,,
140,,,,,
141,Black-throated munia,Lonchura kelaarti,Estrildidae,"The black-throated munia or  Jerdon's mannikin  is a small passerine bird. This estrildid finch is a resident breeding bird in the hills of southwest India, the Eastern Ghats and Sri Lanka.",https://xeno-canto.org/44853/download
142,Black-throated parrotbill,Suthora nipalensis,Sylviidae,"The black-throated parrotbill is a parrotbill species often placed with the Old World babblers or in a distinct family Paradoxornithidae, but it actually seems to belong to the Sylviidae.",https://xeno-canto.org/79569/download
143,Black-throated prinia,Prinia atrogularis,Family,The black-throated prinia is a species of bird in the family Cisticolidae.,https://xeno-canto.org/551308/download
144,Black-throated sunbird,Aethopyga saturata,Nectariniidae,The black-throated sunbird is a species of bird in the family Nectariniidae.,https://xeno-canto.org/105276/download
145,Black-throated thrush,Turdus atrogularis,Turdidae,"The black-throated thrush is a passerine bird in the thrush family. It is sometimes regarded as one subspecies of a polytypic species, ""dark-throated thrush"", red-throated thrush then being the other subspecies. More recent treatments regard the two as separate species.",https://xeno-canto.org/426989/download
146,Black-winged cuckooshrike,Lalage melaschistos,Campephagidae,"The black-winged cuckooshrike or lesser grey cuckooshrike or dark grey cuckooshrike is a species of cuckooshrike found in South to Southeast Asia. Despite the name, they (cuckooshrikes) are unrelated to shrikes or cuckoos. They have broad based bills with grey upper parts, black wings, white vent, graduated white-tipped tails, black bills and legs. Females are overall lighter in all taxa.",https://xeno-canto.org/104173/download
147,Black-winged kite,Elanus caeruleus,Accipitridae,"The black-winged kite, also known as the black-shouldered kite, is a small diurnal bird of prey in the family Accipitridae best known for its habit of hovering over open grasslands in the manner of the much smaller kestrels. This Palearctic and Afrotropical species was sometimes combined with the Australian black-shouldered kite and the white-tailed kite of North and South America which together form a superspecies. This kite is distinctive, with long wings; white, grey and black plumage; and owl-like forward-facing eyes with red irises. The owl-like behaviour is even more pronounced in the letter-winged kite, a nocturnal relative in Australia. Although mainly seen on plains, they are sometimes seen on grassy slopes of hills in the higher elevation regions of Asia. They are not migratory, but show nomadism in response to weather and food availability. They are well adapted to utilize periodic upsurges in rodent populations and can raise multiple broods in a single year unlike most birds of prey. Populations in southern Europe have grown in response to human activities, particularly agriculture and livestock rearing.",https://xeno-canto.org/513397/download
